310,Kaleidoscope,Hollywood,6,1
311,Banana Grove - Ambassador Hotel,Los Angeles,6,1
312,Stockton Ballroom,Stockton,6,1
313,Earl Warren Showgrounds,Santa Barbara,6,1
314,Marigold Ballroom,Fresno,6,1
315,Awalt High School,Mountain View,6,1
316,Napa County Fairgrounds,Napa,6,1
317,Tompkins Square Park,New York,34,1
318,Caf? au Go-Go,New York,34,1
319,The Cheetah,New York,34,1
320,Monterey Fairgrounds,Monterey,6,1
321,P.N.E. Agradome,Vancouver,58,2
322,Masonic Temple,Portland,39,1
323,O'Keefe Centre,Toronto,53,2
324,Chelsea Hotel Roof,New York,34,1
325,Grande Ballroom,Detroit,24,1
326,West Park,Ann Arbor,24,1
327,American Legion Hall - South Shore,Lake Tahoe,6,1
328,King's Beach Bowl - North Shore,Lake Tahoe,6,1
329,Dance Hall,Rio Nido,6,1
330,Eagle's Auditorium,Seattle,49,1
331,Hollywood Bowl,Hollywood,6,1
332,Griffith Park,Los Angeles,6,1
333,Family Dog,Denver,7,1
334,Palm Gardens,New York,34,1
335,Village Theater,New York,34,1
336,Psychedelic Supermarket,Boston,23,1
337,Portland State College,Portland,39,1
338,Erb Memorial Union - U. of Oregon,Eugene,39,1
339,Gym - South Oregon College,Ashland,39,1
340,1300 Boulevard Way,Walnut Creek,6,1
341,San Quentin State Prison,San Quentin,6,1
342,Sacramento Memorial Auditorium,Sacramento,6,1
343,State Fair Coliseum,Detroit,24,1
344,MelodyLand Theater ,Anaheim,6,1
345,Thee Image - Miami Beach,Miami,11,1
346,Electric Factory,Philadelphia,40,1
347,Low Library Plaza - Columbia U.,New York,34,1
348,The Dome,Virginia Beach,48,1
349,National Guard Armory,St. Louis,27,1
350,The Hippodrome,San Diego,6,1
351,Orange County Fairgrounds,Costa Mesa,6,1
352,Del Mar Fairgrounds,San Diego,6,1
353,The Bank,Torrance,6,1
354,Silver Dollar Fairgrounds,Chico,6,1
355,Veterans Hall,Columbus,37,1
356,Memorial Auditorium - Ohio University,Athens,37,1
357,Hyde Park Teen Center,Cincinnati,37,1
358,The Kinetic Playground,Chicago,15,1
359,Bellarmine College,Louisville,19,1
360,Unknown Venue,Houston,45,1
361,Gulfstream Park Racetrack,Hallandale,11,1
362,Unknown Venue,Santa Barbara,6,1
363,The Music Box,Omaha,56,1
364,Kiel Auditorium,St. Louis,27,1
365,Hilton Hotel,San Francisco,6,1
366,Rose Palace,Pasadena,6,1
367,Unknown Venue,Merced,6,1
368,Student Center - Modesto Jr. College,Modesto,6,1
369,University Auditorium - U. of Az.,Tucson,4,1
370,Student Union Ballrm - U. of U.,Salt Lake City,46,1
371,Ballroom - U. of Co.,Boulder,7,1
372,Washington University,St. Louis,27,1
373,Memorial Union Ballroom - Purdue U.,Lafayette,16,1
374,Atwood Hall - Clark University,Worcester,23,1
375,Electric Theater,Chicago,15,1
376,Unknown Venue,Unknown Location,6,1
377,Hall Of Flowers - County Fairgrounds,San Mateo,6,1
378,Aztec Bowl - San Diego State U.,San Diego,6,1
379,Campolindo High School,Moraga,6,1
380,Robertson Gym - U.C.S.B.,Santa Barbara,6,1
381,Springer's Inn,Portland,39,1
382,Veterans Auditorium,Santa Rosa,6,1
383,The Barn,Rio Nido,6,1
384,Reed's Ranch,Colorado Springs,7,1
385,Piedmont Park,Atlanta,12,1
386,Family Dog at the Great Highway,San Francisco,6,1
387,Max Yasgur's Farm,Bethel,34,1
388,Green Lake Aqua Theatre,Seattle,49,1
389,Pelletier Farm,St. Helens,39,1
390,Paradise Valley Resort,Squamish,58,2
391,Baton Rouge Int. Speedway,Prairieville,20,1
392,Unknown Venue,San Jose,6,1
393,San Jose State University,San Jose,6,1
394,Lanai Theater,Crockett,6,1
395,Building A - Cal Expo,Sacramento,6,1
396,McFarlin Auditorium - S.M.U.,Dallas,45,1
397,International Speedway,Hollywood,11,1
398,Oregon State University,Corvallis,39,1
399,Honolulu Civic Auditorium,Honolulu,13,1
400,Ungano's Night Club,New York,34,1
401,Panther Hall,Fort Worth,45,1
402,San Antonio Civic Center Arena,San Antonio,45,1
403,Sam Houston Coliseum,Houston,45,1
404,The Auditorium,Austin,45,1
405,Star Theatre,Phoenix,4,1
406,Kleinhans Music Hall,Buffalo,34,1
407,Pirates World,Dania,11,1
408,York Farm,Poynette,51,1
409,Alfred College,Alfred,34,1
410,Field House - Wesleyan University,Middletown,8,1
411,Farrell Hall - S.U.C.N.Y.,Delhi,34,1
412,Worcester Polytechnic Institute,Worcester,23,1
413,Atlanta Sports Arena,Atlanta,12,1
414,Temple University,Philadelphia,40,1
415,Fairfield University,Fairfield,8,1
416,Unknown Venue,Newcastle-Under-Lyme,0,5
417,Mid-South Coliseum,Memphis,44,1
418,Coronation Park,Toronto,53,2
419,Winnipeg Fairgrounds,Winnipeg,57,2
420,McMahon Stadium,Calgary,61,2
421,Mississippi River Festival,Edwardsville,15,1
422,Euphoria Ballroom,San Rafael,6,1
423,The Club,Los Angeles,6,1
424,KQED Studios,San Francisco,6,1
425,Pasadena Civic Auditorium,Pasadena,6,1
426,Terrace Ballroom,Salt Lake City,46,1
427,Colden Auditorium - Queens College,Queens,34,1
428,Marion Shea Aud. - Paterson State Col.,Wayne,32,1
429,Irvine Auditorium - U. Penn.,Philadelphia,40,1
430,Cleveland Music Hall,Cleveland,37,1
431,McDonough Arena - Georgetown U.,Washington,10,1
432,Kiel Opera House,St. Louis,27,1
433,Action House,Island Park,34,1
434,46th Street Rock Palace,Brooklyn,34,1
435,The Palestra - U. of Rochester,Rochester,34,1
436,Middlesex County Community College,Edison,32,1
437,Anderson Theater,New York,34,1
438,The Syndrome,Chicago,15,1
439,Club Agora,Columbus,37,1
440,Santa Rosa Fairgrounds,Santa Rosa,6,1
441,Legion Stadium,El Monte,6,1
442,Lane Community College,Eugene,39,1
443,Seattle Center Arena,Seattle,49,1
444,Jenison Field House - Mi. State U.,Lansing,24,1
445,Camp Randall Field House - U. of Wi.,Madison,51,1
446,Exposition Center,Milwaukee,51,1
447,East Hall - Franklin & Marshall Col.,Lancaster,40,1
448,Civic Arena,Pittsburgh,40,1
449,Catholic Youth Center,Scranton,40,1
450,Bucknell University,Lewisburg,40,1
451,Allegheny College,Meadville,40,1
452,Rhode Island Auditorium,Providence,41,1
453,Chateau d'Herouville,Herouville,0,6
454,Terminal Island Correctional Fac.,San Pedro,6,1
455,Easttown Theatre,Detroit,24,1
456,Allan Theater,Cleveland,37,1
457,Atlanta Municipal Auditorium,Atlanta,12,1
458,San Antonio Civic Auditorium,San Antonio,45,1
459,Texas Christian University,Fort Worth,45,1
460,Austin Municipal Auditorium,Austin,45,1
461,Albuquerque Civic Auditorium,Albuquerque,33,1
462,City Hall,Newcastle upon Tyne,0,5
463,Aarhus University,Aarhus,0,3
464,Beat Club,Bremen,0,14
465,Bickershaw Festival,Wigan,0,5
466,Lille Fairgrounds,Lille,0,6
467,Unknown Location,Radio Luxembourg,0,9
468,Dillon Stadium,Hartford,8,1
469,Paramount Northwest Theatre,Seattle,49,1
470,San Jose Civic Auditorium,San Jose,6,1
471,Soccer Field - American University,Washington,10,1
472,Vanderbilt University,Nashville,44,1
473,Performing Arts Center,Milwaukee,51,1
474,Music Hall,Cincinnati,37,1
475,Veterans Memorial Auditorium,Columbus,37,1
476,Ford Auditorium,Detroit,24,1
477,Soldiers & Sailors Memorial Hall,Kansas City,18,1
478,Century II Convention Hall,Wichita,18,1
479,Dallas Memorial Auditorium,Dallas,45,1
480,Assembly Hall - U. of Il.,Champaign-Urbana,15,1
481,Salt Palace,Salt Lake City,46,1
482,Universal Amphitheatre,Universal City,6,1
483,Omaha Civic Auditorium,Omaha,56,2
484,State Fair Coliseum,Indianapolis,16,1
485,McGaw Memorial Hall - Northwestern U.,Evanston,15,1
486,County Coliseum,El Paso,45,1
487,Cincinnati Gardens,Cincinnati,37,1
488,University of Nevada,Reno,30,1
489,Civic Convention Hall Auditorium,Philadelphia,40,1
490,Olympiahalle,Muenchen,0,14
491,Palais des Sports,Paris,0,6
492,Market Square Arena,Indianapolis,16,1
493,River Front Coliseum,Cincinnati,37,1
494,The Mosque,Richmond,48,1
495,The Forum,Inglewood,6,1
496,Activity Center - A. S. U.,Tempe,4,1
497,University of New Mexico,Albuquerque,33,1
498,Lloyd Noble Center - U. of Oklahoma,Norman,38,1
499,Assembly Center - La. State U.,Baton Rouge,20,1
500,Arlington Theater,Santa Barbara,6,1
501,Bakersfield Memorial Auditorium,Bakersfield,6,1
